
Fri, 03 Jun 2016 17:18:50

{u'y': -2.25, u'x': 276.81, u'z': 83.87, u't': 1464967146918}
{u'y': -2.88, u'x': 275.69, u'z': 83.87, u't': 1464967146974}
{u'y': -3.69, u'x': 274.69, u'z': 83.75, u't': 1464967147030}
{u'y': -4.63, u'x': 273.38, u'z': 83.56, u't': 1464967147085}
{u'y': -5.25, u'x': 272.69, u'z': 83.62, u't': 1464967147140}
{u'y': -6.0, u'x': 272.31, u'z': 83.62, u't': 1464967147194}
{u'y': -6.75, u'x': 272.5, u'z': 83.44, u't': 1464967147249}
{u'y': -7.63, u'x': 273.0, u'z': 83.56, u't': 1464967147304}
{u'y': -8.25, u'x': 273.63, u'z': 83.81, u't': 1464967147359}
{u'y': -8.88, u'x': 274.56, u'z': 84.19, u't': 1464967147415}
{u'y': -9.25, u'x': 275.5, u'z': 84.5, u't': 1464967147470}
{u'y': -9.56, u'x': 277.31, u'z': 85.25, u't': 1464967147526}
{u'y': -9.56, u'x': 279.56, u'z': 86.44, u't': 1464967147582}
{u'y': -9.06, u'x': 282.19, u'z': 87.0, u't': 1464967147637}
{u'y': -8.25, u'x': 284.88, u'z': 87.62, u't': 1464967147692}
{u'y': -7.25, u'x': 287.69, u'z': 87.87, u't': 1464967147747}
{u'y': -6.06, u'x': 289.81, u'z': 88.06, u't': 1464967147802}
{u'y': -4.88, u'x': 291.5, u'z': 87.94, u't': 1464967147857}
{u'y': -4.0, u'x': 293.06, u'z': 88.06, u't': 1464967147913}
{u'y': -3.06, u'x': 294.88, u'z': 88.62, u't': 1464967147968}
{u'y': -1.81, u'x': 297.06, u'z': 88.81, u't': 1464967148024}
{u'y': -0.5, u'x': 298.63, u'z': 89.62, u't': 1464967148079}
{u'y': 1.0, u'x': 300.31, u'z': 90.62, u't': 1464967148136}
{u'y': 2.19, u'x': 301.38, u'z': 90.62, u't': 1464967148191}
{u'y': 3.5, u'x': 301.63, u'z': 90.62, u't': 1464967148246}
{u'y': 4.38, u'x': 301.25, u'z': 90.75, u't': 1464967148301}
{u'y': 5.19, u'x': 300.75, u'z': 91.06, u't': 1464967148355}
{u'y': 5.5, u'x': 299.56, u'z': 91.31, u't': 1464967148410}
{u'y': 5.5, u'x': 297.44, u'z': 91.56, u't': 1464967148466}
{u'y': 5.56, u'x': 295.88, u'z': 91.75, u't': 1464967148521}
{u'y': 5.44, u'x': 293.56, u'z': 92.19, u't': 1464967148577}
{u'y': 5.19, u'x': 292.06, u'z': 93.12, u't': 1464967148633}
